bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.14544992,0.0023337800000000006,-0.05705572,-0.0154706,-0.37326138,-0.02579231,-0.01045058,0.04298704,-0.01045058,-0.01045045,-0.01045058,-0.01045045,0.01492972,-0.01045045,0.05436699,-0.04478377,0.07229971,-0.07463948,0.04298704,-0.12575041,0.0,2024-05-17 19:46:30
0.0015159,-0.01229215,0.00667205,-2.235e-05,0.05705572,-0.02579222,0.37326138,-0.04298704,0.01045058,0.01045066,0.01045058,0.01045066,0.01045058,0.01045066,0.01492971,-3.999999999976245e-08,0.05436699,0.0,0.07229971,1.9999999989472883e-08,1.0,2024-05-17 19:46:33
0.02432782,-0.016125,0.07464585,-0.04298704,2.982e-05,-0.0104507,0.14929751,-0.0104507,0.05,0.20923768,0.00664223,0.01,0.01492913,0.29859303,0.05705572,0.0104507,0.37326138,0.29859303,0.0104506,0.06,0.0,2024-05-17 19:46:36
0.0,-0.00708046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:46:38
0.05354572,0.00976914,0.0,2.235e-05,-0.14929751,0.04298704,-0.05,0.31441729,-0.00664223,0.0104507,-0.01492913,0.0104507,-0.05705572,0.19453435,-0.37326138,0.29859303,-0.0104506,0.0104507,-0.01045059,0.29859303,-1.0,2024-05-17 19:46:41
-0.55036311,0.01862879,-0.01045109,0.04298704,-0.01045109,0.00082399,-0.01045109,0.11602355,-0.523,0.1933725,-0.37328808,5.225e-05,-0.1,0.07464573,-0.04298704,0.01045111,-0.09897211,0.01045111,-2.239e-05,0.01045111,0.0,2024-05-17 19:46:44
-0.051535120000000045,-0.009990959999999998,-0.523,0.00064018,-0.01045147,0.02579229,-0.01493084,0.04298704,-0.01045147,0.17915584,-0.01045148,0.29859303,0.37330399,0.01045148,0.1,0.01045147,0.04298704,0.07464765,0.09181826,0.01045148,0.0,2024-05-17 19:46:47
-0.0012064199999999858,-0.0012999000000000005,0.0,0.04298704,-0.01045161,-0.01045159,-0.01045161,-0.01045159,-0.01045161,0.16304302999999998,-0.38823489,0.0,-0.04298704,0.01045159,-0.09870559,-0.29861086,-2.239e-05,-0.07464702,-0.089443,-0.1933725,0.0,2024-05-17 19:46:50
-0.29408222,0.08941178999999999,0.0719126,0.02579226,0.07465623,0.04298704,0.523,0.01045188,0.14931991,0.01045188,-0.01493103,0.01045188,0.01045192,0.04478977,0.01045191,0.07464959,0.01045192,0.00016712,0.04298704,0.06,0.0,2024-05-17 19:46:53
-0.0011271800000000054,-0.09136385,0.07465538,-0.02579231,0.0719126,-0.04298704,0.0,-0.01045179,0.14931507,-0.01045179,0.01493099,-0.01045179,0.01045179,-0.00016712,0.01045179,-0.07464877,0.01045179,-0.06,0.0,-0.17915584,0.0,2024-05-17 19:46:56
0.0,0.03977384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01045175,0.0,0.01493088,0.0,0.01045175,-0.06,0.01045175,-0.17915584,0.0,-0.29859303,0.0,2024-05-17 19:47:00
0.0,-0.00300951,0.0,0.02579228,0.0,0.04298704,0.0,0.01045214,0.0,0.01045214,0.37330535,0.01045213,0.0,0.0,-0.01045213,0.0,-0.01045213,0.0,-0.01045213,0.0,0.0,2024-05-17 19:47:03
-0.005412410000000006,0.01691798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:47:05
0.0,0.06427579,0.0,-1.0000000001675335e-08,0.0,0.0,0.14931492,-0.01045213,0.523,-0.01045213,0.0,0.0,0.0,0.0,-0.01045214,0.11540544,-0.01045214,0.07,-0.01045214,0.07464841,-1.0,2024-05-17 19:47:08
-0.22183809,0.0035659,-0.37332058,0.02549151,-0.11493212,0.04298704,-0.00016712,0.00082399,-0.2,0.01045267,-0.01045267,0.05778756,-0.01045267,2.235e-05,-0.01045267,0.0012604,-0.25742431,0.01045248,-0.718,0.01045248,0.0,2024-05-17 19:47:11
0.25049474,-0.06059461,0.05564161,-0.00346665,0.37332058,-2.235e-05,0.08719429,-0.0012604,0.01045246,-0.01045248,0.1,-0.01045256,0.01045256,-0.01045248,0.00016712,-0.07180365,0.01045256,-0.22915913,0.2,-0.40559797,0.0,2024-05-17 19:47:14
-0.24897884,0.08323185,0.07466094,5.226e-05,0.14932718,0.00346665,-0.014931919999999987,0.01045316,-0.11493192,0.0012604,-0.00016712,0.03979947,-0.37334018,0.06587993,-0.25742431,0.0746538,-0.718,0.29863137,-0.01045303,0.07097078,0.0,2024-05-17 19:47:17
0.06708958,-0.03602994999999999,0.0,0.0,0.05623059,0.0,0.14932718,-0.01045263,0.08719429,0.01045263,0.1,0.01045263,0.00016712,0.0012604,0.01045258,0.03979947,0.37334018,0.06587993,0.01045276,0.0746538,0.0,2024-05-17 19:47:20
-1.6229999999992084e-05,-0.0007086399999999965,0.0,-0.00346665,0.0,-0.01045263,0.0,-0.01045263,0.0,-0.01045263,-0.00016712,-0.0012604,-0.01045258,-0.03979947,-0.37334018,-0.06587993,-0.01045276,-0.0746538,-0.01045276,-0.29863137,0.0,2024-05-17 19:47:23
