time,low,high,open,close,volume,sentiment
2024-05-17 01:21:00+00:00,160.37,160.53,160.37,160.5,105.75016319,0
2024-05-17 01:20:00+00:00,160.28,160.62,160.62,160.37,357.85411892,0
2024-05-17 01:19:00+00:00,160.52,160.75,160.63,160.58,538.84180376,0
2024-05-17 01:18:00+00:00,160.6,160.87,160.87,160.64,422.32237261,0
2024-05-17 01:17:00+00:00,160.8,161.02,160.98,160.88,163.8249598,0
2024-05-17 01:16:00+00:00,160.85,161.18,161.14,160.95,745.57975251,0
2024-05-17 01:15:00+00:00,161.05,161.37,161.12,161.06,1244.69367795,0
2024-05-17 01:14:00+00:00,160.84,161.26,160.92,161.18,181.81687719,0
2024-05-17 01:13:00+00:00,160.85,161.0,160.85,160.99,577.16331625,0
2024-05-17 01:12:00+00:00,160.78,161.21,161.18,160.82,606.0254407,0
2024-05-17 01:11:00+00:00,161.16,161.46,161.46,161.16,251.39240159,0
2024-05-17 01:10:00+00:00,161.4,161.73,161.73,161.43,447.61922572,0
2024-05-17 01:09:00+00:00,161.7,161.97,161.91,161.79,256.46467106,0
2024-05-17 01:08:00+00:00,161.89,162.04,162.03,161.92,1055.1691538,0
2024-05-17 01:07:00+00:00,161.78,162.07,161.78,162.04,215.62903543,0
2024-05-17 01:06:00+00:00,161.66,161.89,161.87,161.76,250.45518276,0
2024-05-17 01:05:00+00:00,161.59,161.99,161.61,161.87,260.77329257,0
2024-05-17 01:04:00+00:00,161.56,161.71,161.71,161.61,2323.58623616,0
2024-05-17 01:03:00+00:00,161.68,161.87,161.8,161.72,95.85507051,0
2024-05-17 01:02:00+00:00,161.81,162.12,162.12,161.83,433.22303367,0
2024-05-17 01:01:00+00:00,162.06,162.25,162.06,162.13,371.40184349,0
2024-05-17 01:00:00+00:00,162.0,162.31,162.31,162.09,1483.89711083,0
2024-05-17 00:59:00+00:00,161.99,162.35,162.0,162.32,1885.64208147,0
2024-05-17 00:58:00+00:00,161.79,162.0,161.8,162.0,753.41008061,0
2024-05-17 00:57:00+00:00,161.56,161.92,161.66,161.78,607.09668851,0
2024-05-17 00:56:00+00:00,161.64,161.7,161.64,161.68,105.80495619,0
2024-05-17 00:55:00+00:00,161.59,161.72,161.68,161.66,141.06433587,0
2024-05-17 00:54:00+00:00,161.68,161.85,161.69,161.7,200.21276016,0
2024-05-17 00:53:00+00:00,161.66,161.87,161.82,161.67,150.88958892,0
2024-05-17 00:52:00+00:00,161.62,161.82,161.64,161.8,1023.66590999,0
2024-05-17 00:51:00+00:00,161.31,161.67,161.31,161.63,928.47625638,0
2024-05-17 00:50:00+00:00,161.14,161.42,161.22,161.3,733.1494376,0
2024-05-17 00:49:00+00:00,161.19,161.31,161.26,161.22,1690.74358997,0
2024-05-17 00:48:00+00:00,161.17,161.5,161.49,161.18,431.09429439,0
