time,low,high,open,close,volume
2024-05-17 18:46:00,66577.63,66609.42,66609.42,66594.07,2.09314587
2024-05-17 18:45:00,66567.53,66640.75,66573.85,66609.41,11.51299447
2024-05-17 18:44:00,66538.88,66583.76,66538.88,66573.85,4.91723171
2024-05-17 18:43:00,66522.85,66547.92,66528.02,66538.88,5.17796685
2024-05-17 18:42:00,66502.21,66550.17,66527.01,66528.02,7.30332236
2024-05-17 18:41:00,66466.79,66527.02,66476.74,66527.02,4.23584176
2024-05-17 18:40:00,66444.0,66479.61,66467.41,66476.25,3.859569
2024-05-17 18:39:00,66459.41,66505.74,66493.57,66467.42,2.34542096
2024-05-17 18:38:00,66453.44,66511.42,66472.84,66499.27,8.70576767
2024-05-17 18:37:00,66475.45,66528.55,66528.55,66477.39,18.01018508
2024-05-17 18:36:00,66517.0,66539.19,66517.02,66528.55,4.53170931
2024-05-17 18:35:00,66516.52,66527.82,66516.53,66519.01,8.62420088
2024-05-17 18:34:00,66498.05,66529.85,66528.05,66512.75,10.50777407
2024-05-17 18:33:00,66528.05,66550.07,66545.22,66528.06,3.87224306
2024-05-17 18:32:00,66496.72,66545.42,66496.73,66545.22,7.748439
2024-05-17 18:31:00,66453.29,66530.26,66487.9,66496.73,13.82865733
2024-05-17 18:30:00,66426.69,66538.22,66538.22,66487.9,23.52689132
2024-05-17 18:29:00,66516.15,66563.65,66563.65,66538.21,8.83572791
2024-05-17 18:28:00,66523.81,66569.99,66531.31,66563.65,17.24467046
2024-05-17 18:27:00,66505.21,66549.11,66549.1,66531.3,4.24535268
2024-05-17 18:26:00,66517.19,66559.15,66522.74,66552.68,5.95485057
2024-05-17 18:25:00,66496.21,66541.15,66499.78,66522.74,5.79308177
2024-05-17 18:24:00,66419.05,66499.78,66459.82,66499.78,4.76202015
2024-05-17 18:23:00,66442.17,66518.22,66518.22,66456.13,8.98183582
2024-05-17 18:22:00,66476.29,66533.02,66532.45,66518.22,4.89221712
2024-05-17 18:21:00,66495.57,66614.09,66594.68,66532.46,10.13557116
2024-05-17 18:20:00,66543.02,66595.82,66543.02,66594.69,7.16914597
2024-05-17 18:19:00,66534.4,66571.95,66571.95,66542.99,7.4316531
2024-05-17 18:18:00,66535.97,66580.96,66550.67,66571.95,7.07524927
2024-05-17 18:17:00,66501.95,66548.82,66512.32,66548.82,12.69829796
2024-05-17 18:16:00,66434.63,66512.34,66434.63,66512.33,6.49336017
2024-05-17 18:15:00,66410.45,66453.93,66451.12,66434.62,9.46523676
2024-05-17 18:14:00,66429.95,66479.31,66453.01,66451.13,13.80850319
2024-05-17 18:13:00,66384.63,66455.05,66443.9,66453.01,7.71361619
2024-05-17 18:12:00,66353.7,66443.1,66362.82,66443.09,6.92103281
2024-05-17 18:11:00,66325.97,66411.83,66411.83,66362.83,25.09156315
2024-05-17 18:10:00,66338.6,66432.91,66364.07,66411.83,11.26620506
2024-05-17 18:09:00,66325.1,66364.07,66329.7,66364.07,8.44765906
2024-05-17 18:08:00,66261.21,66386.74,66261.21,66323.5,8.28377872
2024-05-17 18:07:00,66251.22,66402.28,66397.8,66261.2,25.27469708
2024-05-17 18:06:00,66355.78,66485.63,66485.62,66395.64,25.24457365
2024-05-17 18:05:00,66481.18,66530.23,66498.73,66485.78,5.03582684
2024-05-17 18:04:00,66466.33,66536.42,66506.98,66498.73,22.77535081
2024-05-17 18:03:00,66506.97,66567.76,66551.23,66506.99,16.78940958
2024-05-17 18:02:00,66527.91,66612.35,66537.9,66551.23,17.14590322
2024-05-17 18:01:00,66534.49,66674.08,66674.02,66538.15,59.36636836
2024-05-17 18:00:00,66674.01,66743.06,66741.3,66674.01,37.68893913
2024-05-17 17:59:00,66740.86,66806.87,66806.87,66741.3,7.12835657
2024-05-17 17:58:00,66757.4,66816.7,66762.61,66806.87,6.95104995
2024-05-17 17:57:00,66722.82,66764.91,66722.82,66762.61,9.20413019
2024-05-17 17:56:00,66714.85,66733.1,66725.85,66723.96,4.62429163
2024-05-17 17:55:00,66700.87,66731.74,66724.61,66727.9,12.06500654
2024-05-17 17:54:00,66683.28,66738.1,66732.01,66724.6,10.63515369
2024-05-17 17:53:00,66715.21,66738.69,66728.81,66732.0,9.14520783
2024-05-17 17:52:00,66717.72,66766.97,66758.8,66728.82,18.73014798
2024-05-17 17:51:00,66750.01,66840.0,66783.48,66757.14,26.38554998
2024-05-17 17:50:00,66763.97,66784.95,66770.76,66783.48,6.0709011
2024-05-17 17:49:00,66769.63,66844.68,66844.68,66770.76,9.46613599
2024-05-17 17:48:00,66836.93,66855.31,66839.03,66844.69,8.79306223
2024-05-17 17:47:00,66828.0,66854.69,66848.82,66839.04,4.63933727
2024-05-17 17:46:00,66831.76,66850.19,66850.18,66848.82,5.50352127
2024-05-17 17:45:00,66792.09,66856.7,66813.05,66850.18,11.30202836
2024-05-17 17:44:00,66806.91,66844.96,66822.54,66813.05,8.12728499
2024-05-17 17:43:00,66802.35,66883.93,66846.75,66820.74,10.17311158
2024-05-17 17:42:00,66818.17,66853.46,66819.21,66846.8,7.20718869
2024-05-17 17:41:00,66809.02,66900.69,66900.68,66819.22,17.83997621
2024-05-17 17:40:00,66890.77,66904.26,66898.26,66900.69,4.64172485
2024-05-17 17:39:00,66886.62,66899.76,66886.62,66898.26,5.09292039
2024-05-17 17:38:00,66885.71,66917.72,66894.87,66886.02,6.80063938
2024-05-17 17:37:00,66858.68,66917.73,66862.83,66894.86,8.19928482
2024-05-17 17:36:00,66850.0,66914.78,66914.02,66862.83,18.70503204
2024-05-17 17:35:00,66884.19,66914.02,66888.11,66914.02,5.03145644
2024-05-17 17:34:00,66888.11,66924.55,66924.55,66888.12,7.56952641
2024-05-17 17:33:00,66876.68,66928.41,66892.33,66924.56,8.57165184
2024-05-17 17:32:00,66890.61,66943.2,66932.06,66892.32,8.24805234
2024-05-17 17:31:00,66919.89,66960.58,66960.58,66931.5,11.18078499
2024-05-17 17:30:00,66945.84,66966.14,66955.17,66960.58,4.75229826
2024-05-17 17:29:00,66915.28,66961.4,66915.28,66955.16,8.57648554
2024-05-17 17:28:00,66915.23,66945.05,66940.52,66915.29,7.7672493
2024-05-17 17:27:00,66938.47,67010.17,67001.36,66940.52,11.98388288
2024-05-17 17:26:00,66972.31,67068.7,66975.68,67001.38,28.8411636
2024-05-17 17:25:00,66965.46,67021.81,66979.25,66975.66,18.12925893
