bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
5.499e-05,-0.20153873,0.19409968,-0.03976338,0.80878665,-0.11751681,0.23291898,-0.08494983,3.23528946,-0.36353714,0.69052201,-0.03052925,2.77454857,-1.73350117,0.99765476,-1.29324412,0.99765476,-0.94889778,0.32470243,-0.80868223,0.0,2024-05-17 19:45:15
0.09704823,0.00315378,0.75585434,-0.36353714,0.09704936,-0.391,0.80878665,-1.73350123,0.16174392,-1.29324412,0.23291665,-0.94889778,0.17,-0.80868223,3.23528946,-1.50590469,2.6127979,-1.94077304,0.99765476,-3.23462172,0.0,2024-05-17 19:45:18
0.008848830000000002,-0.110717,-0.72364958,0.09704807,0.0970487,0.36353714,0.09704799,0.391,0.80877179,1.24829192,0.2329162,1.29324412,0.16174444,0.94889778,0.17,1.30324224,3.23528946,0.80866844,0.36353714,1.50590469,1.0,2024-05-17 19:45:21
0.09704435,-0.11712655,0.80872376,-0.09704413,0.32995004,-0.36353714,0.16173232,-0.80862632,0.17,-0.5,3.33089317,-0.391,0.03220476,-1.94061951,0.36353714,-0.1617355,-2.2376347,-3.23436579,0.99765476,-1.45046464,-1.0,2024-05-17 19:45:24
-1.64895271,0.19619952,-0.09704782,1.51101885,-0.09704796,1.51285215,-0.09585641,0.36353714,-0.03220476,0.02727664,-0.391,0.6685672,-3.23517184,0.00362128,0.16174574,1.42312021,0.23291511,0.80865429,-0.36353714,0.16174627,0.0,2024-05-17 19:45:28
-0.93762955,0.00602799,-0.19290485,0.0991517,-0.03220476,0.09704748,-0.80876919,1.90201885,-3.23517184,1.51285215,-0.52528656,0.36353714,-0.23291406,0.02727664,-2.24926076,0.6685672,-1.071325,0.00362128,-0.99765476,0.16175173,0.0,2024-05-17 19:45:30
0.19409768,0.38098215,0.825685,0.5,-0.13077739,1.109999999998612e-06,0.0,-0.7992645899999999,0.23291677,0.0970487499999999,2.8731761,0.0,0.16174904,0.0,0.36353714000000004,-0.5,-1.07438245,0.0,-1.07438245,0.98695383,1.0,2024-05-17 19:45:33
0.64849764,-0.62111,0.19407498,-0.80222308,0.16172309,-1.33703839,0.23289213,-0.60425406,0.17,-0.09703828,3.23492476,-0.36353714,0.36353714,-1.00709,0.07573828,-0.80857917,1.07438245,-0.82154906,1.07438245,-1.36924844,1.0,2024-05-17 19:45:36
0.9006408,-0.10611009,0.27993168,-0.52656088,0.19078715,-0.87062714,0.59617562,-0.80856355,0.34228936,-0.5,0.1606321,-0.2998681,0.54615864,-1.81413837,0.42456277,-3.41215968,0.23288966,-1.936,0.64849764,-1.02856803,1.0,2024-05-17 19:45:39
0.09700811,-0.00351773,0.80841223,-0.36353714,0.09700811,-0.19401622,0.23281947,-0.48567008,0.24989178,-0.80945,3.77687146,-0.391,0.16167639,-1.47559255,0.6,-0.16167639,0.391,-2.12018592,6.4676987,-1.93986922,-1.0,2024-05-17 19:45:42
-0.09707488,0.09703028,-0.0970296,0.37372068,-0.80861268,0.085,-0.391,0.391,-3.2345592,1.62460753,-6.46891203,1.54959305,-0.16171722,0.1848425,-0.23287093,0.32646859,-0.36353714,0.80849218,-17.52082008,1.82541947,-1.0,2024-05-17 19:45:46
-0.03235784,0.19408512,-0.19408512,0.51812235,-0.80872073,0.5,-0.391,0.37896603,-6.70256514,0.391,-3.23501045,1.48921454,-0.07573828,0.16174155,-0.16174155,1.70945904,-6.8332025,0.30283466,-1.1855812,1.22975584,-1.0,2024-05-17 19:45:48
